,lat,lon,value,node,ndist
0,41.372,1.6638,0.0,2639193890,2100.4342284926247
1,41.372,1.6645,0.00055453394467134,2639193890,2053.07313160929
2,41.372,1.6653,0.0011360648515168663,2639193890,1999.6623533633344
3,41.372,1.666,0.0017181985326015095,2639193890,1953.6017041542539
4,41.372,1.6668,0.0022991130738082197,2639193890,1901.7922779625765
5,41.372,1.6675,0.0028767768095076867,2639193890,1857.2422338218566
6,41.372,1.6683,0.0034489417250936857,2639193890,1807.2954853914287
7,41.372,1.669,0.004013140033728836,2639193890,1764.5046255812247
8,41.372,1.6697,0.004571638986921425,2639193890,1722.6320157959226
9,41.372,1.6705,0.005123535244180494,2639193890,1675.9902130957585
10,41.372,1.6712,0.005659910921588056,2639193890,1636.322840460825
11,41.372,1.672,0.00621843728324441,2639193890,1592.4033965262931
12,41.372,1.6727,0.00680699429656512,2639193890,1555.307872031201
13,41.372,1.6735,0.007384775406848367,4047758709,1512.91639216978
14,41.372,1.6742,0.007950779896931064,4047758709,1466.596115371231
15,41.372,1.6749,0.008506505768334009,4047758709,1421.1674485964854
16,41.372,1.6757,0.00905948870279512,4047758709,1370.4544064639354
17,41.372,1.6764,0.009679199540911633,4047758709,1327.2460828941776
18,41.372,1.6772,0.010271009829457771,4047758709,1279.3450757007322
19,41.372,1.6779,0.010830906655538439,4047758709,1238.8643348443582
20,41.372,1.6787,0.011355060850108156,4047758709,1194.4202749719964
21,41.372,1.6794,0.011872408682037736,4047758709,1157.2920736756387
22,41.372,1.6801,0.012405285761485885,4047758709,1121.9780255316875
23,41.372,1.6809,0.012975934237765982,4047758709,1084.0675604157568
24,41.372,1.6816,0.013554911598125325,2201745289,1036.8850694850328
25,41.372,1.6824,0.014143212269189713,2201745289,981.3357815638825
26,41.372,1.6831,0.01471310652835443,2201745289,933.9350840107587
27,41.372,1.6839,0.015258766161601624,2201745289,881.3832882447829
28,41.372,1.6846,0.015839057631034735,2201745289,837.0631727796424
29,41.372,1.6853,0.01645131122672291,2201745289,794.5673519212922
30,41.372,1.6861,0.01702361505824802,2201745289,748.63254645091
31,41.372,1.6868,0.01759552783484506,2201745289,711.1516298307544
32,41.372,1.6876,0.018253328815826378,2201745289,671.9840357724909
33,41.372,1.6883,0.01896991855588568,2201745289,641.4607742059769
34,41.372,1.6891,0.019840235242191574,2201745289,611.5638310422489
35,41.372,1.6898,0.0207046610675471,2201745289,590.3754140116181
36,41.372,1.6905,0.021522908595217365,2201745289,574.3693990901683
37,41.372,1.6913,0.0224450527100103,2201745349,549.369650515954
38,41.372,1.692,0.023357273103007076,2201745349,512.6281521651158
