,edgeid,coords
1577,"(1653465042, 386583607)",
1578,"(1653465042, 1653465095)",
1579,"(1653465046, 1653465106)",
1580,"(1653465046, 1653464928)",
1581,"(1653465046, 3706233725)","[(1.7100401, 41.3467117), (1.7105221, 41.3465773), (1.7107681, 41.3464983)]"
1582,"(1653465050, 1653465289)",
1583,"(1653465050, 1653465078)",
1584,"(1653465050, 1653464976)",
1585,"(1653465056, 489649081)",
1586,"(1653465056, 1653465004)","[(1.6939528, 41.3466963), (1.693557, 41.3462218), (1.6931654, 41.3464182)]"
1587,"(1653465056, 1653465088)","[(1.6939528, 41.3466963), (1.6937866, 41.3467246), (1.6934991, 41.3468137)]"
1588,"(1653465057, 1653465000)",
1589,"(1653465057, 1653465129)","[(1.6970016, 41.34674), (1.6966353, 41.3469118), (1.6965267, 41.3469729)]"
1590,"(1653465057, 1653465101)","[(1.6970016, 41.34674), (1.6970721, 41.3467793), (1.6972493, 41.3466815), (1.6974333, 41.346859)]"
1591,"(1653465072, 4344164448)",
1592,"(1653465072, 1653464943)","[(1.7055734, 41.3467422), (1.7053821, 41.3464864), (1.7049882, 41.3459945)]"
1593,"(1653465072, 1653465040)","[(1.7055734, 41.3467422), (1.7051928, 41.3466581), (1.704855, 41.3465702), (1.7047484, 41.3465464)]"
1594,"(1653465075, 1653465139)",
1595,"(1653465075, 1653465200)",
1596,"(1653465075, 1653465028)","[(1.6987671, 41.3467997), (1.6991646, 41.3465783), (1.699472, 41.3464709)]"
1597,"(1653465075, 5967548763)","[(1.6987671, 41.3467997), (1.6986803, 41.3466953), (1.6984071, 41.3463716), (1.6983914, 41.3463556)]"
1598,"(1653465078, 1653465050)",
1599,"(1653465078, 1653464989)",
1600,"(1653465078, 1653465175)","[(1.7007016, 41.3468025), (1.7004427, 41.3469367), (1.7000571, 41.3471366)]"
1601,"(1653465078, 1653465328)","[(1.7007016, 41.3468025), (1.7007125, 41.3468647), (1.7007742, 41.3472171), (1.700781, 41.3472558), (1.7008604, 41.3476875), (1.7010744, 41.3479672), (1.701027, 41.3481554)]"
1602,"(1653465088, 1653465095)",
1603,"(1653465088, 1653465004)","[(1.6934991, 41.3468137), (1.6932554, 41.346527), (1.6931654, 41.3464182)]"
1604,"(1653465088, 1653465056)","[(1.6934991, 41.3468137), (1.6937866, 41.3467246), (1.6939528, 41.3466963)]"
1605,"(1653465091, 795816251)",
1606,"(1653465091, 369254715)",
1607,"(1653465091, 1653465293)","[(1.7038391, 41.346733), (1.7049764, 41.3477052), (1.7052301, 41.3480193)]"
1608,"(1653465091, 5967574309)","[(1.7038391, 41.346733), (1.7037888, 41.346708), (1.7032678, 41.3465916), (1.7031485, 41.3465885)]"
1609,"(1653465095, 1653465042)",
1610,"(1653465095, 1653465088)",
1611,"(1653465095, 1653465142)",
1612,"(1653465099, 1653465139)",
1613,"(1653465099, 1653465034)",
1614,"(1653465099, 3190917755)",
1615,"(1653465101, 1653465034)",
1616,"(1653465101, 1653465145)","[(1.6974333, 41.346859), (1.6975283, 41.3469654), (1.6977182, 41.3470026), (1.6978655, 41.3470473)]"
1617,"(1653465101, 1653465057)","[(1.6974333, 41.346859), (1.6972493, 41.3466815), (1.6970721, 41.3467793), (1.6970016, 41.34674)]"
1618,"(1653465106, 1653465046)",
1619,"(1653465106, 1653464978)",
1620,"(1653465106, 1653465133)",
1621,"(1653465129, 1653465161)",
1622,"(1653465129, 1653465193)",
1623,"(1653465129, 1653465057)","[(1.6965267, 41.3469729), (1.6966353, 41.3469118), (1.6970016, 41.34674)]"
1624,"(1653465133, 1653465106)",
1625,"(1653465133, 4115913416)","[(1.7092639, 41.346999), (1.7099998, 41.3468023), (1.710344, 41.3467805), (1.7107463, 41.3468741)]"
1626,"(1653465133, 440669470)","[(1.7092639, 41.346999), (1.7085821, 41.3471796), (1.7083394, 41.3471494)]"
1627,"(1653465139, 1653465099)",
1628,"(1653465139, 4049286874)",
1629,"(1653465139, 3190917756)",
1630,"(1653465139, 1653465075)",
1631,"(1653465142, 386583607)",
1632,"(1653465142, 1653465095)",
1633,"(1653465142, 2197594559)",
1634,"(1653465145, 3190917755)",
1635,"(1653465145, 1653465185)","[(1.6978655, 41.3470473), (1.6977954, 41.3471098), (1.6975198, 41.3472546), (1.6975214, 41.3472709), (1.6974849, 41.347293), (1.6974064, 41.3472588), (1.6973685, 41.3472652)]"
1636,"(1653465145, 1653465101)","[(1.6978655, 41.3470473), (1.6977182, 41.3470026), (1.6975283, 41.3469654), (1.6974333, 41.346859)]"
1637,"(1653465151, 1653465196)",
1638,"(1653465151, 2197594473)",
1639,"(1653465151, 386583604)",
1640,"(1653465151, 2197594576)",
1641,"(1653465157, 1653464897)",
1642,"(1653465157, 4344164448)",
1643,"(1653465157, 7995324949)",
1644,"(1653465161, 1653465212)",
1645,"(1653465161, 1653465129)",
1646,"(1653465161, 1653465229)","[(1.6966709, 41.347108), (1.6968441, 41.3472334), (1.6970233, 41.3474551)]"
1647,"(1653465175, 1653465208)",
1648,"(1653465175, 4049286876)",
1649,"(1653465175, 1653465078)","[(1.7000571, 41.3471366), (1.7004427, 41.3469367), (1.7007016, 41.3468025)]"
1650,"(1653465175, 1653465028)","[(1.7000571, 41.3471366), (1.6997296, 41.3468139), (1.699472, 41.3464709)]"
1651,"(1653465185, 1653465229)",
1652,"(1653465185, 1653465145)","[(1.6973685, 41.3472652), (1.6974064, 41.3472588), (1.6974849, 41.347293), (1.6975214, 41.3472709), (1.6975198, 41.3472546), (1.6977954, 41.3471098), (1.6978655, 41.3470473)]"
1653,"(1653465185, 2704454143)","[(1.6973685, 41.3472652), (1.6972294, 41.3471305), (1.6970421, 41.3470539)]"
1654,"(1653465187, 4049286875)",
1655,"(1653465187, 3190917756)",
1656,"(1653465187, 3190922556)",
1657,"(1653465193, 1653465199)",
1658,"(1653465193, 1653465129)",
1659,"(1653465193, 1653465212)",
1660,"(1653465193, 361495249)","[(1.6958949, 41.3473581), (1.6955449, 41.3469803), (1.6951006, 41.346619)]"
1661,"(1653465196, 2197594722)",
1662,"(1653465196, 1653465277)",
1663,"(1653465196, 1653465151)",
1664,"(1653465196, 2197594559)",
1665,"(1653465199, 1653465283)",
1666,"(1653465199, 1653465193)",
1667,"(1653465199, 1653465251)","[(1.6958001, 41.3474027), (1.6961471, 41.3478434), (1.6963202, 41.347877)]"
1668,"(1653465200, 1653465075)",
1669,"(1653465200, 1653465234)","[(1.6994125, 41.3473749), (1.6992986, 41.3474456), (1.6989563, 41.3476578)]"
1670,"(1653465200, 1653465208)","[(1.6994125, 41.3473749), (1.6994808, 41.3474302), (1.6995107, 41.3474543)]"
1671,"(1653465204, 2197594576)",
1672,"(1653465204, 1653465232)",
1673,"(1653465204, 1653465241)",
1674,"(1653465208, 1653465175)",
1675,"(1653465208, 1653465200)","[(1.6995107, 41.3474543), (1.6994808, 41.3474302), (1.6994125, 41.3473749)]"
1676,"(1653465208, 1653465333)","[(1.6995107, 41.3474543), (1.7000165, 41.3479537), (1.7002574, 41.3481802)]"
1677,"(1653465212, 1653465161)",
1678,"(1653465212, 1653465251)",
1679,"(1653465212, 1653465193)",
1680,"(1653465229, 1653465233)",
1681,"(1653465229, 1653465185)",
1682,"(1653465229, 1653465161)","[(1.6970233, 41.3474551), (1.6968441, 41.3472334), (1.6966709, 41.347108)]"
1683,"(1653465232, 1653465204)",
1684,"(1653465232, 2197594749)",
1685,"(1653465232, 2197594827)",
1686,"(1653465233, 1653465247)",
1687,"(1653465233, 1653465229)",
1688,"(1653465233, 3190922556)","[(1.6971762, 41.3476573), (1.6973398, 41.3475707), (1.6975437, 41.347468)]"
1689,"(1653465234, 3190922558)",
1690,"(1653465234, 4049286874)",
1691,"(1653465234, 1653465200)","[(1.6989563, 41.3476578), (1.6992986, 41.3474456), (1.6994125, 41.3473749)]"
1692,"(1653465241, 2197594722)",
1693,"(1653465241, 2197594827)",
1694,"(1653465241, 1653465204)",
1695,"(1653465241, 1653465340)",
1696,"(1653465245, 1653465293)",
1697,"(1653465245, 1653465040)",
1698,"(1653465245, 1653465335)","[(1.7057718, 41.347736), (1.7063008, 41.3483851), (1.7063407, 41.3484341)]"
1699,"(1653465247, 1653465310)",
1700,"(1653465247, 1653465233)",
1701,"(1653465247, 1653465249)",
1702,"(1653465249, 1653465308)",
1703,"(1653465249, 1653465247)",
1704,"(1653465249, 1653465251)",
1705,"(1653465251, 1653465212)",
1706,"(1653465251, 1653465249)",
1707,"(1653465251, 1653465199)","[(1.6963202, 41.347877), (1.6961471, 41.3478434), (1.6958001, 41.3474027)]"
1708,"(1653465277, 1653465196)",
1709,"(1653465277, 1653465340)",
1710,"(1653465277, 361495251)","[(1.6924777, 41.3478697), (1.6936705, 41.3472989), (1.6946281, 41.3468253)]"
1711,"(1653465283, 1653465389)",
1712,"(1653465283, 1653465199)",
1713,"(1653465283, 395310318)","[(1.6948919, 41.3479032), (1.695044, 41.3479977), (1.6954383, 41.3482695)]"
1714,"(1653465283, 361495251)","[(1.6948919, 41.3479032), (1.6947949, 41.3478136), (1.6945459, 41.3475486), (1.6945109, 41.347384), (1.6945919, 41.3471012), (1.6946281, 41.3468253)]"
1715,"(1653465289, 1653465050)",
1716,"(1653465289, 489649237)",
1717,"(1653465289, 369254707)",
1718,"(1653465293, 1653465357)",
1719,"(1653465293, 1653465245)",
1720,"(1653465293, 1653465352)",
1721,"(1653465293, 1653465091)","[(1.7052301, 41.3480193), (1.7049764, 41.3477052), (1.7038391, 41.346733)]"
1722,"(1653465295, 1653465299)",
1723,"(1653465295, 1653465343)",
1724,"(1653465295, 3190922556)","[(1.6987099, 41.3480151), (1.698163, 41.3479556), (1.6977663, 41.347695), (1.6975437, 41.347468)]"
1725,"(1653465299, 4049286875)",
1726,"(1653465299, 1653465295)",
1727,"(1653465299, 3190922558)",
1728,"(1653465299, 1653465350)","[(1.6987197, 41.3479591), (1.6988055, 41.3480255), (1.6994329, 41.3482824)]"
1729,"(1653465308, 395310322)",
1730,"(1653465308, 1653465249)",
1731,"(1653465308, 1653465310)",
1732,"(1653465310, 1653465247)",
1733,"(1653465310, 1653465308)",
1734,"(1653465310, 1653465337)","[(1.6969953, 41.3481439), (1.6976771, 41.3480672), (1.6984407, 41.3481863)]"
1735,"(1653465328, 1653465362)",
1736,"(1653465328, 4049286876)","[(1.701027, 41.3481554), (1.7009199, 41.3480598), (1.7008849, 41.3480223)]"
1737,"(1653465328, 1653465078)","[(1.701027, 41.3481554), (1.7010744, 41.3479672), (1.7008604, 41.3476875), (1.700781, 41.3472558), (1.7007742, 41.3472171), (1.7007125, 41.3468647), (1.7007016, 41.3468025)]"
1738,"(1653465333, 1653465385)",
1739,"(1653465333, 4049286877)",
1740,"(1653465333, 1653465208)","[(1.7002574, 41.3481802), (1.7000165, 41.3479537), (1.6995107, 41.3474543)]"
1741,"(1653465335, 4344164452)",
1742,"(1653465335, 1653465245)","[(1.7063407, 41.3484341), (1.7063008, 41.3483851), (1.7057718, 41.347736)]"
1743,"(1653465335, 2197678641)","[(1.7063407, 41.3484341), (1.7065276, 41.3486358), (1.7066496, 41.3488113), (1.7068447, 41.3490753), (1.7069606, 41.3492233), (1.7070825, 41.3493332), (1.7072147, 41.3494461), (1.7072106, 41.3494949), (1.7071571, 41.3495628)]"
1744,"(1653465337, 1653465343)",
1745,"(1653465337, 4049286878)",
1746,"(1653465337, 1653465310)","[(1.6984407, 41.3481863), (1.6976771, 41.3480672), (1.6969953, 41.3481439)]"
1747,"(1653465340, 1653465277)",
1748,"(1653465340, 1653465402)",
1749,"(1653465340, 1653465241)",
1750,"(1653465340, 361495254)",
1751,"(1653465343, 1653465367)",
1752,"(1653465343, 1653465337)",
1753,"(1653465343, 1653465295)",
1754,"(1653465343, 1653465411)","[(1.6986489, 41.3482161), (1.6987368, 41.3482071), (1.6988379, 41.3482276), (1.6995181, 41.3486901), (1.6997119, 41.3487791), (1.6998786, 41.348767)]"
1755,"(1653465350, 1653465385)",
1756,"(1653465350, 1653465299)","[(1.6994329, 41.3482824), (1.6988055, 41.3480255), (1.6987197, 41.3479591)]"
1757,"(1653465350, 3190922558)","[(1.6994329, 41.3482824), (1.6993728, 41.348164), (1.6990217, 41.3477373)]"
1758,"(1653465352, 1653465590)",
1759,"(1653465352, 795816251)",
1760,"(1653465352, 1653465293)",
1761,"(1653465352, 1653465387)",
1762,"(1653465357, 1653465293)",
1763,"(1653465361, 395310322)",
1764,"(1653465361, 1653465530)","[(1.69733, 41.3483725), (1.6972601, 41.3489048), (1.6972119, 41.3492431)]"
1765,"(1653465361, 6749734229)","[(1.69733, 41.3483725), (1.6974744, 41.3483823), (1.6976022, 41.3483891)]"
1766,"(1653465362, 489649237)",
1767,"(1653465362, 1653465328)",
1768,"(1653465362, 1653465384)","[(1.7010975, 41.3482437), (1.7009186, 41.3483394), (1.700662, 41.3484767)]"
1769,"(1653465367, 1653465343)",
1770,"(1653465367, 4049286878)",
1771,"(1653465367, 1653465381)",
1772,"(1653465381, 1653465485)",
1773,"(1653465381, 1653465367)",
1774,"(1653465381, 1653465465)","[(1.6987722, 41.3484519), (1.6990462, 41.3486045), (1.6995645, 41.3489049), (1.6996013, 41.3489616)]"
1775,"(1653465384, 1653465411)",
1776,"(1653465384, 4049286877)",
1777,"(1653465384, 1653465391)",
1778,"(1653465384, 1653465362)","[(1.700662, 41.3484767), (1.7009186, 41.3483394), (1.7010975, 41.3482437)]"
1779,"(1653465385, 1653465333)",
1780,"(1653465385, 1653465411)",
1781,"(1653465385, 1653465350)",
1782,"(1653465387, 1653465352)",
1783,"(1653465387, 369254707)",
1784,"(1653465387, 1653465440)","[(1.7034246, 41.3485747), (1.7035082, 41.3486641), (1.7036266, 41.3487906)]"
1785,"(1653465389, 1653465283)",
1786,"(1653465389, 1653465542)",
1787,"(1653465389, 1653465402)","[(1.6934813, 41.3486119), (1.6933175, 41.3486434), (1.6930502, 41.3486703), (1.6926722, 41.3487112), (1.6922684, 41.3486996), (1.6921616, 41.3487167)]"
1788,"(1653465391, 1653465461)",
1789,"(1653465391, 1653465384)",
1790,"(1653465391, 1653465451)",
1791,"(1653465391, 489649237)","[(1.7008405, 41.3486479), (1.701075, 41.348505), (1.7012304, 41.3484103)]"
1792,"(1653465402, 1653465478)",
1793,"(1653465402, 1653465340)",
1794,"(1653465402, 9690672194)",
1795,"(1653465402, 1653465389)","[(1.6921616, 41.3487167), (1.6922684, 41.3486996), (1.6926722, 41.3487112), (1.6930502, 41.3486703), (1.6933175, 41.3486434), (1.6934813, 41.3486119)]"
1796,"(1653465405, 1653465451)",
1797,"(1653465405, 489649237)","[(1.7016957, 41.3487702), (1.7014004, 41.3485418), (1.7012304, 41.3484103)]"
1798,"(1653465405, 489649241)","[(1.7016957, 41.3487702), (1.7018468, 41.3488876), (1.7018914, 41.349004), (1.7019694, 41.34916)]"
1799,"(1653465411, 1653465384)",
1800,"(1653465411, 1653465461)",
1801,"(1653465411, 1653465385)",
1802,"(1653465411, 1653465343)","[(1.6998786, 41.348767), (1.6997119, 41.3487791), (1.6995181, 41.3486901), (1.6988379, 41.3482276), (1.6987368, 41.3482071), (1.6986489, 41.3482161)]"
1803,"(1653465414, 1653465462)",
1804,"(1653465414, 395310318)",
1805,"(1653465414, 1653465542)",
1806,"(1653465440, 489649246)",
1807,"(1653465440, 489649256)",
1808,"(1653465440, 1653465387)","[(1.7036266, 41.3487906), (1.7035082, 41.3486641), (1.7034246, 41.3485747)]"
1809,"(1653465451, 1653465523)",
1810,"(1653465451, 1653465405)",
1811,"(1653465451, 1653465391)",
1812,"(1653465454, 4559295950)",
1813,"(1653465454, 2108953724)",
1814,"(1653465454, 4592735243)","[(1.6901489, 41.3488773), (1.6902069, 41.348904), (1.6902522, 41.3489422), (1.690281, 41.3489885), (1.6902907, 41.3490391)]"
1815,"(1653465457, 2197594988)",
1816,"(1653465457, 2108953724)","[(1.689893, 41.3486834), (1.6898983, 41.3487377), (1.6899132, 41.348772), (1.6899334, 41.3487932), (1.689967, 41.3488063), (1.6900767, 41.3488638)]"
1817,"(1653465457, 386508023)","[(1.689893, 41.3486834), (1.6901579, 41.3480221), (1.6901882, 41.3479309), (1.6902573, 41.3477226)]"
1818,"(1653465457, 4592735245)","[(1.689893, 41.3486834), (1.6898443, 41.3487294), (1.6897848, 41.3488781), (1.6898345, 41.3489854)]"
1819,"(1653465457, 9690672215)","[(1.689893, 41.3486834), (1.6899491, 41.3486838), (1.6904144, 41.3486872)]"
1820,"(1653465461, 1653465391)",
1821,"(1653465461, 1653465555)",
1822,"(1653465461, 1653465411)",
1823,"(1653465461, 1653465465)","[(1.7000174, 41.3489159), (1.6998164, 41.3489756), (1.6996013, 41.3489616)]"
1824,"(1653465462, 1653465579)",
1825,"(1653465462, 395310324)",
1826,"(1653465462, 1653465414)",
1827,"(1653465465, 1653465550)",
1828,"(1653465465, 1653465461)","[(1.6996013, 41.3489616), (1.6998164, 41.3489756), (1.7000174, 41.3489159)]"
1829,"(1653465465, 1653465381)","[(1.6996013, 41.3489616), (1.6995645, 41.3489049), (1.6990462, 41.3486045), (1.6987722, 41.3484519)]"
1830,"(1653465478, 1653465402)",
1831,"(1653465478, 9690672173)",
1832,"(1653465478, 1653465594)","[(1.6925348, 41.3491802), (1.6927484, 41.3493477), (1.6931649, 41.3494743), (1.6941467, 41.3496753)]"
1833,"(1653465485, 1653465381)",
1834,"(1653465485, 6749734231)",
1835,"(1653465485, 1653465550)",
1836,"(1653465523, 1653465451)",
1837,"(1653465523, 1653465555)",
1838,"(1653465523, 489649241)",
1839,"(1653465523, 1653465617)","[(1.7011989, 41.3492679), (1.7013423, 41.3496867), (1.7014483, 41.3498762)]"
1840,"(1653465530, 1653465624)",
1841,"(1653465530, 1653465597)","[(1.6972119, 41.3492431), (1.6978937, 41.3495397), (1.6980139, 41.349628)]"
1842,"(1653465530, 395310324)","[(1.6972119, 41.3492431), (1.6970437, 41.3492074), (1.6962825, 41.3490458)]"
1843,"(1653465530, 1653465361)","[(1.6972119, 41.3492431), (1.6972601, 41.3489048), (1.69733, 41.3483725)]"
1844,"(1653465542, 9690718925)",
1845,"(1653465542, 1653465579)",
1846,"(1653465542, 1653465414)",
1847,"(1653465542, 1653465389)",
1848,"(1653465550, 1653465465)",
1849,"(1653465550, 1653465485)",
1850,"(1653465550, 395310337)","[(1.6990244, 41.3493329), (1.6991354, 41.3494602), (1.6992729, 41.3496233), (1.699446, 41.3499854)]"
1851,"(1653465555, 1653465523)",
1852,"(1653465555, 1653465607)",
1853,"(1653465555, 1653465461)",
1854,"(1653465579, 1653465462)",
1855,"(1653465579, 1653465542)",
1856,"(1653465579, 1653465602)",
1857,"(1653465590, 795816190)",
1858,"(1653465590, 1653465352)",
1859,"(1653465590, 489649256)",
1860,"(1653465590, 2197678641)","[(1.7055653, 41.3496859), (1.7060773, 41.3496995), (1.7065052, 41.3496516), (1.7070916, 41.3495436), (1.7071571, 41.3495628)]"
1861,"(1653465594, 9690718925)","[(1.6941467, 41.3496753), (1.6943188, 41.3494639), (1.6943299, 41.3494499)]"
1862,"(1653465594, 1653465478)","[(1.6941467, 41.3496753), (1.6931649, 41.3494743), (1.6927484, 41.3493477), (1.6925348, 41.3491802)]"
1863,"(1653465594, 2197678678)","[(1.6941467, 41.3496753), (1.69563, 41.3500094), (1.6959177, 41.3500695)]"
1864,"(1653465597, 1653465652)",
1865,"(1653465597, 6749734231)","[(1.6980139, 41.349628), (1.6982183, 41.3493472), (1.6983674, 41.3491564)]"
1866,"(1653465597, 5685671925)","[(1.6980139, 41.349628), (1.6980829, 41.3497299), (1.6983271, 41.3500904)]"
1867,"(1653465597, 1653465530)","[(1.6980139, 41.349628), (1.6978937, 41.3495397), (1.6972119, 41.3492431)]"
1868,"(1653465602, 395310324)",
1869,"(1653465602, 1653465579)",
1870,"(1653465602, 9690718924)",
1871,"(1653465602, 1653465624)",
1872,"(1653465607, 395310364)",
1873,"(1653465607, 1653465555)",
1874,"(1653465607, 395310337)","[(1.7004736, 41.3497497), (1.7001067, 41.3498167), (1.699446, 41.3499854)]"
1875,"(1653465617, 489649243)",
1876,"(1653465617, 1653465665)",
1877,"(1653465617, 1653465523)","[(1.7014483, 41.3498762), (1.7013423, 41.3496867), (1.7011989, 41.3492679)]"
1878,"(1653465624, 1653465530)",
1879,"(1653465624, 1653465652)",
1880,"(1653465624, 1653465602)",
1881,"(1653465652, 1653465597)",
1882,"(1653465652, 9690718923)",
1883,"(1653465652, 1653465624)",
1884,"(1653465654, 1653465677)",
1885,"(1653465654, 795816190)",
1886,"(1653465654, 2197678641)","[(1.7070989, 41.350108), (1.7072391, 41.3500409), (1.7073862, 41.3499705), (1.7074013, 41.3498788), (1.7073319, 41.3497856), (1.7071571, 41.3495628)]"
1887,"(1653465657, 2099886713)",
1888,"(1653465657, 2197678678)",
1889,"(1653465657, 1653465667)","[(1.6958811, 41.3501484), (1.6963338, 41.3502545), (1.6974212, 41.3504936)]"
1890,"(1653465657, 6229099444)","[(1.6958811, 41.3501484), (1.6958647, 41.3502035), (1.695706, 41.3507268), (1.6956372, 41.3509317), (1.6955915, 41.351014)]"
1891,"(1653465659, 489649246)",
1892,"(1653465659, 1653465678)",
1893,"(1653465659, 1653465674)",
1894,"(1653465662, 369254658)",
1895,"(1653465662, 1653465674)",
1896,"(1653465662, 489649256)","[(1.7049112, 41.3502531), (1.7044699, 41.3497594), (1.7043253, 41.3495977)]"
1897,"(1653465665, 1653465669)",
1898,"(1653465665, 1653465617)",
1899,"(1653465665, 1653465712)",
1900,"(1653465667, 1653465676)",
1901,"(1653465667, 2197678683)",
1902,"(1653465667, 1653465657)","[(1.6974212, 41.3504936), (1.6963338, 41.3502545), (1.6958811, 41.3501484)]"
1903,"(1653465669, 489649244)",
1904,"(1653465669, 1653465665)",
1905,"(1653465669, 1653465678)",
1906,"(1653465671, 5031515428)",
1907,"(1653465671, 2197678595)",
1908,"(1653465671, 367878694)",
1909,"(1653465674, 1653465662)",
1910,"(1653465674, 1653465659)",
1911,"(1653465674, 1653465722)",
1912,"(1653465674, 1653465716)","[(1.7039236, 41.3507517), (1.7037093, 41.3508579), (1.7027325, 41.3513481)]"
1913,"(1653465676, 1653465667)",
1914,"(1653465676, 2197678689)",
1915,"(1653465676, 8564619796)","[(1.6985972, 41.350762), (1.6989658, 41.3508461), (1.6994448, 41.3509624)]"
1916,"(1653465677, 1653465707)",
1917,"(1653465677, 1653465654)",
1918,"(1653465677, 1653465747)","[(1.7077444, 41.3508582), (1.7083102, 41.3515156), (1.707442, 41.3519303)]"
1919,"(1653465678, 1653465669)",
1920,"(1653465678, 1653465659)",
1921,"(1653465678, 1653465712)",
1922,"(1653465678, 1653465716)",
1923,"(1653465707, 1653465677)",
1924,"(1653465707, 6731649529)",
1925,"(1653465707, 1653465747)",
1926,"(1653465712, 1653465678)",
1927,"(1653465712, 1653465728)",
1928,"(1653465712, 1653465665)",
1929,"(1653465716, 1653465743)",
1930,"(1653465716, 1653465754)",
1931,"(1653465716, 1653465678)",
1932,"(1653465716, 1653465674)","[(1.7027325, 41.3513481), (1.7037093, 41.3508579), (1.7039236, 41.3507517)]"
1933,"(1653465722, 1653465739)",
1934,"(1653465722, 1653465674)",
1935,"(1653465722, 1653465754)","[(1.704462, 41.3513797), (1.704267, 41.3514792), (1.7032983, 41.3519733)]"
1936,"(1653465722, 369254643)","[(1.704462, 41.3513797), (1.705082, 41.351048), (1.7053102, 41.3509257), (1.7054584, 41.3509319)]"
1937,"(1653465728, 395310364)",
1938,"(1653465728, 1653465743)",
1939,"(1653465728, 1653465712)",
1940,"(1653465728, 2197678750)","[(1.7016065, 41.3514525), (1.7010918, 41.3513484), (1.7009233, 41.3513137)]"
1941,"(1653465739, 1653465722)",
1942,"(1653465739, 1653465764)",
1943,"(1653465739, 1653465766)","[(1.7046213, 41.3515667), (1.7040155, 41.3519798), (1.7035623, 41.3522973)]"
1944,"(1653465743, 489649261)",
1945,"(1653465743, 1653465728)",
1946,"(1653465743, 1653465716)",
1947,"(1653465743, 2803211527)","[(1.7019119, 41.3517729), (1.7014397, 41.3519754), (1.7011137, 41.3521152)]"
1948,"(1653465747, 1653465707)",
1949,"(1653465747, 2197678805)",
1950,"(1653465747, 1653465756)",
1951,"(1653465747, 1653465677)","[(1.707442, 41.3519303), (1.7083102, 41.3515156), (1.7077444, 41.3508582)]"
1952,"(1653465754, 489649261)",
1953,"(1653465754, 1653465716)",
1954,"(1653465754, 1653465766)",
1955,"(1653465754, 1653465722)","[(1.7032983, 41.3519733), (1.704267, 41.3514792), (1.704462, 41.3513797)]"
1956,"(1653465756, 1653465747)",
1957,"(1653465756, 2197678805)","[(1.7071742, 41.3520525), (1.7077051, 41.3524197), (1.7078315, 41.3524544), (1.7078775, 41.3524464)]"
1958,"(1653465756, 6731649530)","[(1.7071742, 41.3520525), (1.706487, 41.3515683), (1.7063568, 41.3514778)]"
1959,"(1653465758, 1653465769)",
1960,"(1653465764, 1653465739)",
1961,"(1653465764, 1653465769)",
1962,"(1653465764, 4051917933)",
1963,"(1653465766, 4051917934)",
1964,"(1653465766, 1653465754)",
1965,"(1653465766, 1653465739)","[(1.7035623, 41.3522973), (1.7040155, 41.3519798), (1.7046213, 41.3515667)]"
1966,"(1653465766, 1653465769)","[(1.7035623, 41.3522973), (1.7040206, 41.3527733), (1.7045669, 41.3524964)]"
1967,"(1653465769, 1653465758)",
1968,"(1653465769, 1653465764)",
1969,"(1653465769, 1653465766)","[(1.7045669, 41.3524964), (1.7040206, 41.3527733), (1.7035623, 41.3522973)]"
1970,"(1653465775, 312212874)",
1971,"(1653465775, 2197678805)",
1972,"(1653465775, 312212899)","[(1.7080923, 41.3527202), (1.7092472, 41.3518957), (1.7097651, 41.3515135), (1.7108667, 41.3507012), (1.7120113, 41.3498572)]"
1973,"(1653465775, 2202285333)","[(1.7080923, 41.3527202), (1.7085747, 41.35299), (1.7089116, 41.3533004), (1.7090992, 41.3534576), (1.7096001, 41.3536477), (1.7105836, 41.3539566), (1.710957, 41.3540742), (1.711181, 41.3542533), (1.7112594, 41.3543493)]"
1974,"(1653465785, 1653465793)",
1975,"(1653465785, 3481579973)",
1976,"(1653465785, 4051917934)","[(1.703107, 41.3530268), (1.7029096, 41.3528197), (1.7028811, 41.3527898)]"
1977,"(1653465793, 395310345)",
1978,"(1653465793, 1653465785)",
1979,"(1653465793, 1653465802)",
1980,"(1653465793, 1653465832)","[(1.7021914, 41.3534707), (1.7022883, 41.3535755), (1.7027838, 41.3541115)]"
1981,"(1653465802, 1653465793)",
1982,"(1653465802, 1653465830)",
1983,"(1653465802, 1653465834)",
1984,"(1653465802, 386583582)","[(1.7012738, 41.3539402), (1.7010208, 41.3536854), (1.7009027, 41.3536224)]"
1985,"(1653465830, 1653465802)",
1986,"(1653465830, 386583582)","[(1.7007834, 41.3541909), (1.7008006, 41.3538737), (1.7009027, 41.3536224)]"
1987,"(1653465830, 2197595231)","[(1.7007834, 41.3541909), (1.7007848, 41.3544418), (1.7007887, 41.3545035)]"
1988,"(1653465832, 395310343)",
1989,"(1653465832, 3481579973)",
1990,"(1653465832, 1653465834)",
1991,"(1653465832, 1653465793)","[(1.7027838, 41.3541115), (1.7022883, 41.3535755), (1.7021914, 41.3534707)]"
1992,"(1653465834, 1653465832)",
1993,"(1653465834, 1653465838)",
1994,"(1653465834, 1653465802)",
1995,"(1653465834, 395310347)",
1996,"(1653465838, 2197595231)",
1997,"(1653465838, 1653465834)",
1998,"(1653465838, 1653465839)","[(1.7008277, 41.3551235), (1.7007623, 41.3556892), (1.7007317, 41.3560391)]"
1999,"(1653465839, 2099886829)",
