,edgeid,coords
48,"(312213030, 312213015)","[(1.7150945, 41.3490901), (1.715032, 41.3490434), (1.7149897, 41.3489981), (1.7149491, 41.3489454), (1.7149174, 41.3488895), (1.7148916, 41.3488378), (1.7148798, 41.3487783), (1.7148796, 41.348706)]"
49,"(312213030, 312213018)","[(1.7150945, 41.3490901), (1.7151571, 41.3491282), (1.7152254, 41.3491602), (1.7153468, 41.3492), (1.7154425, 41.3492143), (1.7155373, 41.3492209), (1.7156433, 41.3492153)]"
50,"(312213030, 2108953730)","[(1.7150945, 41.3490901), (1.7149864, 41.3490496), (1.714905, 41.3490308), (1.7148408, 41.3490275), (1.7147711, 41.3490318), (1.7146554, 41.3490486), (1.714553, 41.3490574), (1.7144392, 41.3490511)]"
51,"(312213034, 312213015)",
52,"(312213034, 312213049)","[(1.7148877, 41.3486434), (1.7149124, 41.348564), (1.7149513, 41.3484972), (1.7150162, 41.3484199), (1.7150988, 41.3483529), (1.7151964, 41.3482982), (1.7153056, 41.3482579), (1.7154228, 41.3482333), (1.7155186, 41.3482267), (1.7156127, 41.3482279)]"
53,"(312213034, 367878712)","[(1.7148877, 41.3486434), (1.7148501, 41.3484371), (1.7148015, 41.3482846), (1.7147624, 41.3481759), (1.7147026, 41.3480473), (1.7146414, 41.3479223), (1.7145799, 41.3478076), (1.7142997, 41.3473815), (1.7141567, 41.3471452), (1.7140463, 41.346933), (1.7139187, 41.3466856), (1.7134885, 41.3459808)]"
54,"(312213049, 312213052)",
55,"(312213049, 312213034)","[(1.7156127, 41.3482279), (1.7155186, 41.3482267), (1.7154228, 41.3482333), (1.7153056, 41.3482579), (1.7151964, 41.3482982), (1.7150988, 41.3483529), (1.7150162, 41.3484199), (1.7149513, 41.3484972), (1.7149124, 41.348564), (1.7148877, 41.3486434)]"
56,"(312213049, 367878712)","[(1.7156127, 41.3482279), (1.7154966, 41.3481843), (1.7154313, 41.3481446), (1.7153753, 41.3480986), (1.7153393, 41.3480587), (1.7152903, 41.3479911), (1.7152466, 41.3479325), (1.7150874, 41.3477492), (1.7148358, 41.3474687), (1.7146223, 41.3472434), (1.7144515, 41.3470566), (1.7142185, 41.3467937), (1.7139461, 41.3464905), (1.7134885, 41.3459808)]"
57,"(312213052, 312213049)",
58,"(312213052, 312213018)","[(1.7156807, 41.348236), (1.7157828, 41.3482584), (1.7158756, 41.3482925), (1.715989, 41.3483549), (1.7160823, 41.3484339), (1.7161514, 41.3485258), (1.7161931, 41.3486267), (1.7162055, 41.3487318), (1.7161881, 41.3488366), (1.7161417, 41.3489362), (1.7160683, 41.3490263), (1.7159713, 41.3491027), (1.715855, 41.349162), (1.7157513, 41.3491944), (1.7156433, 41.3492153)]"
59,"(312213052, 312213116)","[(1.7156807, 41.348236), (1.7159164, 41.3482344), (1.7160091, 41.3482409), (1.7160882, 41.3482531), (1.7161623, 41.348275), (1.716224, 41.3483028), (1.7162837, 41.3483416), (1.7163291, 41.3483781), (1.7163657, 41.3484229), (1.7163938, 41.3484687), (1.7164099, 41.3485147), (1.7164221, 41.3485624), (1.7164323, 41.3486257), (1.7164388, 41.3487246), (1.7164425, 41.3488091), (1.7164531, 41.3488784), (1.7164662, 41.3489251), (1.7164916, 41.3489927), (1.7165241, 41.3490371), (1.7165622, 41.3490781), (1.7166159, 41.3491209), (1.7166804, 41.3491589), (1.7167477, 41.3491931), (1.7168385, 41.3492334), (1.7171019, 41.3493177), (1.7176008, 41.3494385), (1.7184301, 41.3496333), (1.7188721, 41.3497806)]"
60,"(312213099, 367878812)",
