,lat,lon,value,node,ndist
0,41.372,1.6638,0.0,1705261989,2739.4615889155098
1,41.372,1.6642,0.00023651352008530126,1705261989,2718.9780106775634
2,41.372,1.6645,0.0004739227914663145,1705261989,2703.7839793537487
3,41.372,1.6649,0.0007159293558491026,1705261989,2683.7548087531795
4,41.372,1.6653,0.0009808031119702485,1705261989,2663.993386531851
5,41.372,1.6657,0.0012474103258432719,1705261989,2644.5057150536127
6,41.372,1.666,0.0015156594200674703,1705261989,2630.073274162642
7,41.372,1.6664,0.0017854514224578174,1705261989,2611.0793902208875
8,41.372,1.6668,0.0020566796604101698,1705261989,2592.3762381452298
9,41.372,1.6671,0.0023292294565656693,1705261989,2578.5434762799246
10,41.372,1.6675,0.0026029778275637023,1705261989,2560.364403409312
11,41.372,1.6679,0.0028777931878623472,1705261989,2542.493681589585
12,41.372,1.6683,0.0031535350607987526,1705261989,2524.9378580669904
13,41.372,1.6686,0.003437945503783527,1705261989,2511.9816185942473
14,41.372,1.669,0.0037295753979208423,1705261989,2494.992817516938
15,41.372,1.6694,0.00402229491139023,1705261989,2478.3372430465447
16,41.372,1.6697,0.004315936998855307,1705261989,2466.068308827908
17,41.372,1.6701,0.004610323476292509,1705261989,2450.012178694862
18,41.372,1.6705,0.004917066459612904,1705261989,2434.307965564396
19,41.372,1.6709,0.005248713407236835,1705261989,2418.9625235167446
20,41.372,1.6712,0.005582446223975916,1705261989,2407.69301818872
21,41.372,1.6716,0.005917772634987528,1705261989,2392.991961948685
22,41.372,1.672,0.006254485371881974,1705261989,2378.6685800217238
23,41.372,1.6723,0.006592362040231387,1705261989,2368.178021547162
24,41.372,1.6727,0.0069311646684143075,1705261989,2354.5320695470996
25,41.372,1.6731,0.007282994081956136,1705261989,2341.282600377768
26,41.372,1.6735,0.007641733191678805,1705261989,2328.4363823514855
27,41.372,1.6738,0.008001557830239052,1705261989,2319.070391550024
28,41.372,1.6742,0.008367169093789909,1705261989,2306.945966847567
29,41.372,1.6746,0.008751483496471217,1705261989,2295.2430656617644
30,41.372,1.6749,0.009137206929045289,1705261989,2286.746416481782
31,41.372,1.6753,0.00952403032654196,1705261989,2275.7967068646476
32,41.372,1.6757,0.009911622450852026,1705261989,2265.2860640957892
33,41.372,1.6761,0.01029962929246147,1705261989,2255.2206271061646
34,41.372,1.6764,0.010687673535995462,1705261989,2247.9673231432507
35,41.372,1.6768,0.011092600802877802,1705261989,2238.69530124904
36,41.372,1.6772,0.01149999260361569,1705261989,2229.884535414277
37,41.372,1.6775,0.011909269852218143,1705261989,2223.582469531101
38,41.372,1.6779,0.01232091307742048,1705261989,2215.591981713145
39,41.372,1.6783,0.01276469577583339,1705261989,2208.0773273573973
40,41.372,1.6787,0.013220057957860276,1705261989,2201.0433801452823
41,41.372,1.679,0.013684258760678894,1705261989,2196.086174309706
42,41.372,1.6794,0.014148901185252995,1705261989,2189.9044280221033
