,lat,lon,value,node,edge,ndist,edist
0,41.5999,1.9723,0.016730468549486326,2533,"(305346088, 796477518)",2384.836247291203,0.02494598889520806
1,41.5999,1.9816,0.05464872273841885,2533,"(305346088, 796477518)",1940.451575937212,0.018894339714576984
2,41.5999,1.9909,0.11028484378478372,2510,"(7476145220, 535989008)",1506.4284599381017,0.016015187938012942
3,41.5999,2.0002,0.10862176132287595,2510,"(767215582, 767215698)",850.903295740464,0.009081050091810112
4,41.5999,2.0095,0.11801035512030507,2513,"(767215698, 767215897)",220.96274098859445,0.0020357907873836114
5,41.5999,2.0188,0.1735952960141366,2664,"(1081117177, 1081115161)",350.0955696472759,0.0019997600308381126
6,41.5999,2.0281,0.18485690314401737,3611,"(311218792, 311218795)",651.9744845449873,0.006195347197696639
7,41.5999,2.0374,0.0995805586291694,3611,"(311219009, 3118719507)",582.7476830551758,0.005745543677519601
8,41.5999,2.0467,0.05792715491918821,1091,"(311219116, 311219155)",925.4420091084966,0.009892269996818703
9,41.5999,2.056,0.032410288478878,1091,"(317161016, 6306566684)",1578.0913658479367,0.019297972437793742
10,41.5924,1.9723,0.03430445090811,2533,"(305346088, 796477518)",1865.0961571293863,0.019917455599442333
11,41.5924,1.9816,0.100153936246717,2533,"(305346088, 796477518)",1247.5049980621689,0.013045040159107096
12,41.5924,1.9909,0.20636991994436496,2533,"(7476145220, 535989008)",911.2624966188762,0.008862242276333676
13,41.5924,2.0002,0.22203176616318032,2510,"(796477320, 7476145220)",658.9932349273889,0.007637582446184584
14,41.5924,2.0095,0.31490960240184507,2510,"(767215698, 767215582)",291.6436444504916,0.002296701991418737
15,41.5924,2.0188,0.3687416992115091,2472,"(1081120426, 1081120831)",77.68099409341536,0.0016602180357965179
16,41.5924,2.0281,0.28403268728215436,2670,"(1086183151, 1834301689)",50.81986098134186,0.00027350055873756797
17,41.5924,2.0374,0.19649334769925444,2959,"(1349786350, 1349786437)",1.2891914060649126,1.5303800281891207e-05
18,41.5924,2.0467,0.1356781547249765,1091,"(317161016, 6306566684)",697.6625743723595,0.00972040229002745
19,41.5924,2.056,0.07760977479927098,1091,"(317161016, 6306566684)",1456.3146602268253,0.012222045382012343
20,41.5849,1.9723,0.05268489262113838,2893,"(1179708103, 1179708240)",1153.4172183996127,0.010899674351554194
21,41.5849,1.9816,0.13056411247266062,2441,"(305346088, 796477518)",825.2268504858293,0.008094120414309203
22,41.5849,1.9909,0.25477828134470615,2533,"(7476145220, 535989008)",110.54592020782631,0.0020721814510770062
23,41.5849,2.0002,0.35475487309800985,3626,"(796477320, 7476145220)",224.23659740005886,0.0001544907897382349
24,41.5849,2.0095,0.47006330634855,2524,"(796477443, 796477320)",8.851057670969844,8.254029319388518e-05
25,41.5849,2.0188,0.6592739238819796,2514,"(1541151417, 766924688)",25.019548001645042,0.00026325954304143106
26,41.5849,2.0281,0.5236564510007686,2546,"(796485651, 796477542)",21.084193489284417,0.00013683949866863295
27,41.5849,2.0374,0.352789099895182,1295,"(317161001, 317161016)",129.24515617180268,0.00015968797917197662
28,41.5849,2.0467,0.1770779865375805,1295,"(317161016, 6306566684)",652.1891798133897,0.002889930240096186
29,41.5849,2.056,0.10293796252869238,3608,"(317161016, 6306566684)",1005.295704354987,0.00557859738898472
30,41.5774,1.9723,0.07889003832548154,2893,"(1179708103, 1179708240)",483.577579888534,0.005487886749012105
31,41.5774,1.9816,0.15186882857451142,628,"(1179708235, 305346115)",208.91720326166666,0.0015222724238468691
32,41.5774,1.9909,0.30867036810484755,2532,"(305346088, 796477518)",319.7234807747224,0.003641179381739123
33,41.5774,2.0002,0.40488911852578635,536,"(304031170, 304031178)",56.71643921723188,0.0006201065508305735
34,41.5774,2.0095,0.719371205009825,554,"(304032093, 304032103)",45.75592282460586,0.00013924297843428293
35,41.5774,2.0188,0.7100046412495181,870,"(2081391935, 309087542)",40.910788799049406,0.00036321813006034797
36,41.5774,2.0281,0.5848378832054281,2798,"(1126668145, 282873806)",8.554789043478788,4.291456263369605e-05
37,41.5774,2.0374,0.7178488850486235,1402,"(416626787, 416626786)",67.25209416036819,0.00043878796019626923
38,41.5774,2.0467,0.3027901439414356,1452,"(317161016, 6306566684)",527.3927384835166,0.004008592836646973
39,41.5774,2.056,0.1127035500524703,3609,"(317161016, 6306566684)",354.1801729474057,0.0017942521934718055
40,41.5699,1.9723,0.1231797431413563,2904,"(1179708431, 1573806673)",575.5104492921408,0.006438344371811038
41,41.5699,1.9816,0.2638729937465763,3212,"(833444959, 1179708267)",218.35997489889408,0.002680027649113365
42,41.5699,1.9909,0.4167646942569965,3592,"(305346088, 5336798845)",302.77924251585733,2.44740261817047e-05
43,41.5699,2.0002,0.7335812433767022,1309,"(320084853, 317045833)",44.59373406084933,8.101798599153611e-05
44,41.5699,2.0095,0.7457340208216126,282,"(301860329, 301863849)",34.01772051186441,0.0002741013614652464
45,41.5699,2.0188,0.9366652740625571,3417,"(2095679003, 469381860)",15.52339200733203,0.00010971728449234141
46,41.5699,2.0281,0.7541845897724351,1338,"(388111789, 469693780)",77.27700104764595,0.0003376911834214746
47,41.5699,2.0374,0.5499811261231768,1575,"(418138616, 418138626)",51.17026727057954,0.0003641113284006754
48,41.5699,2.0467,0.43338285987898845,1552,"(416680986, 417462410)",395.1351287598892,0.0044303873250558885
49,41.5699,2.056,0.17505533588000827,3419,"(2151887758, 2151887759)",381.10677931801337,0.004577478285038743
50,41.5624,1.9723,0.11172851636237544,2906,"(1378529798, 1604894830)",1246.8254936958092,0.011425781046381875
51,41.5624,1.9816,0.25247442072565274,2268,"(475100367, 473575351)",590.3152550537609,0.0063593812191109905
52,41.5624,1.9909,0.43265515761445394,862,"(308427246, 308427156)",104.59391898190903,0.0008775815432322036
53,41.5624,2.0002,0.7081817354144454,2319,"(474916666, 474916667)",65.04451552232742,7.584756131735298e-06
54,41.5624,2.0095,0.7082271136905517,460,"(301814233, 301750204)",147.865874709689,0.0009578812139292909
55,41.5624,2.0188,1.0,59,"(301839724, 5068278230)",78.6922354091977,0.0011516142303400563
56,41.5624,2.0281,0.7507897751791105,2015,"(469999379, 469999420)",30.9750713220798,0.00016968005515446331
57,41.5624,2.0374,0.5043114091564855,941,"(309413552, 309413461)",48.09392973142281,0.00024005625020003432
58,41.5624,2.0467,0.3614026024378837,1684,"(426978278, 426978310)",170.20796482367777,0.0018835897483251978
59,41.5624,2.056,0.16502225849060476,3335,"(305956164, 1569040726)",411.8509950357331,0.003513762396634333
60,41.5549,1.9723,0.0778615933020791,3077,"(1378529798, 1604894830)",877.1347597645804,0.005660428247050631
61,41.5549,1.9816,0.1690116717196608,3077,"(1378529798, 1604894830)",127.50843529537882,0.0008655500844753374
62,41.5549,1.9909,0.3107942005689216,421,"(302018726, 302018827)",44.613535167138444,0.00035303477279929353
